published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-01-16,9.45,10.42,9.34,9.45,-5.50,41391.00,401700.31,-1
2025-01-19,9.31,9.63,8.97,9.63,1.90,85151.00,778233.10,1
2025-01-20,9.44,10.21,9.11,9.25,-3.95,24300.00,228001.50,-1
2025-01-21,9.25,9.43,9.08,9.25,0.00,13000.00,119607.00,0
2025-01-22,9.13,9.43,9.07,9.12,-1.41,94800.00,867819.50,-1
2025-01-23,9.00,9.48,9.00,9.30,1.97,79368.00,727094.90,1
2025-01-26,9.12,9.48,8.90,9.15,-1.61,169280.00,1529568.10,-1
2025-01-27,9.15,9.29,8.93,9.09,-0.66,98345.00,884832.75,-1
2025-01-28,8.92,9.40,8.75,9.14,0.55,81360.00,727675.60,1
2025-01-29,8.92,9.40,8.75,9.14,0.55,81360.00,727675.60,1
2025-01-30,8.92,9.40,8.75,9.14,0.55,81360.00,727675.60,1
2025-02-02,9.00,9.48,8.90,9.18,0.44,121190.00,1088657.32,1
2025-02-03,9.18,9.18,8.96,9.18,0.00,53130.00,480236.90,0
2025-02-04,9.00,9.28,8.83,9.05,-1.42,29914.00,269047.12,-1
2025-02-05,9.00,9.22,8.91,9.02,-0.33,31450.00,282844.00,-1
2025-02-06,8.85,9.18,8.85,9.00,-0.22,10770.00,97191.20,-1
2025-02-09,9.00,9.05,8.80,9.05,0.56,60930.00,541026.30,1
2025-02-10,8.87,9.10,8.70,9.00,-0.55,18655.00,167314.20,-1
2025-02-11,8.82,9.11,8.82,8.97,-0.33,22660.00,203963.00,-1
2025-02-12,8.87,9.00,8.87,9.00,0.33,5350.00,47863.00,1
2025-02-13,8.90,9.25,8.87,8.87,-1.44,24694.00,220226.30,-1
2025-02-16,8.87,9.00,8.80,9.00,1.47,39370.00,349208.10,1
2025-02-17,8.83,9.10,8.83,9.03,0.33,25580.00,230852.10,1
2025-02-18,9.02,9.07,8.90,9.00,-0.33,43254.00,387088.95,-1
2025-02-19,9.02,9.07,8.90,9.00,-0.33,43254.00,387088.95,-1
2025-02-20,8.83,9.18,8.83,8.90,-1.11,24740.00,222024.30,-1
2025-02-23,8.74,9.05,8.74,8.90,0.00,14610.00,130168.00,0
2025-02-24,8.86,9.00,8.85,8.87,-0.34,7460.00,66222.20,-1
2025-02-25,8.70,9.04,8.70,8.90,0.34,19120.00,171118.40,1
